,sentimen,Tweet,tweet_tokens
5355.0,0.0,sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat,"['sentiasa', 'ingat', 'tunjuk', 'gembira', 'kecewa', 'moga', 'sentiasa']"
5356.0,0.0,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb,"['teman', 'teman', 'jatinangor', 'tolong', 'beli', 'jual', 'beliau', 'jual', 'kain', 'lap', 'keset', 'dan bagai']"
5357.0,0.0,hahaa aku juga ga ngerti tadi tp asal jwb aja,"['hahaa', 'ngerti', 'tapi', 'jawab']"
5358.0,0.0,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men,"['kelak', 'orangtua', 'laku', 'anak', 'percaya', 'ayah', 'tidur', 'siang', 'men']"
5359.0,0.0,aku terhibur hahahahahahahahahahahaha,"['hibur', 'hahahahahahahahahahahaha']"
5360.0,0.0,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber,"['okay', 'but', 'the', 'bahasa', 'melayu', 'names', 'for', 'our', 'malaysian', 'birds', 'mudah', 'hibur', 'contoh', 'burung', 'rek', 'ber']"
5361.0,0.0,iya lucu emang dia aku temenan di ig,"['iya', 'lucu', 'emang', 'temenan', 'ig']"
5362.0,0.0,lhaa kaann ancene aku arek  kurang pinter wayah  aku koncoan terus yaa ambk arek  sopo ngerti kecipratan rejeki,"['lhaa', 'kaann', 'ancene', 'arek', 'pinter', 'wayah', 'konco', 'yaa', 'ambk', 'arek', 'sopo', 'ngerti', 'ciprat', 'rejeki']"
5363.0,0.0,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov,"['give', 'away', 'time', 'raya', 'ulang', 'namjoon', 'ulang', 'adain', 'give', 'away', 'photocard', 'album', 'lov']"
5364.0,0.0,kak mau jugaa,"['kak', 'jugaa']"
5365.0,0.0,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew,"['singgah', 'akhir', 'harap', 'kepada', 'acau']"
5366.0,0.0,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit,"['lahir', 'jogja', 'jogja', 'juluk', 'kota', 'hati', 'nyaman', 'pantes', 'langsung', 'pake', 'hati', 'nyaman', 'dikit']"
5367.0,0.0,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar,"['guys', 'jumpa', 'ayat', 'guna', 'time', 'korang', 'putus', 'asa', 'sabar', 'terbahagi', 'iaitu', 'sabar']"
5368.0,0.0,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt,"['fresh', 'grad', 'tgh', 'cari', 'kerja', 'try', 'amal', 'zikir', 'doa', 'alhamdulillah', 'lepas', 'amal', 'pon', 'dpt']"
5369.0,0.0,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun,"['akhlak', 'engga', 'harga', 'melindun']"
5370.0,0.0,buat dong aku kan juga istrinya daniel,"['istri', 'daniel']"
5371.0,0.0,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit,"['hihihihi', 'look', 'at', 'the', 'face', 'lepas', 'taknak', 'bau', 'ikan', 'mandi', 'namau', 'nameow', 'catsoftwit']"
5372.0,0.0,guys today aku nak rekomen kat korang movie yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa,"['guys', 'today', 'rekomen', 'kat', 'korang', 'movie', 'best', 'some', 'of', 'you', 'maybe', 'belum', 'tengok', 'movie', 'tu', 'pa']"
5373.0,0.0,tolong la harini je dah banyak sangat ketawa krem perut aku yall,"['tolong', 'la', 'harini', 'sudah', 'ketawa', 'krem', 'perut', 'yall']"
5374.0,0.0,gt tuhan yesus berkata aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,"['gt', 'tuhan', 'yesus', 'ganti', 'frustasi', 'hati', 'damai', 'sejahtera', 'mbml']"
5375.0,0.0,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo,"['doa', 'lelaki', 'kerja', 'cari', 'duit', 'pasang', 'kesihatan', 'murah', 'rezekiemo']"
5376.0,0.0,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb,"['teman', 'teman', 'jatinangor', 'tolong', 'beli', 'jual', 'beliau', 'jual', 'kain', 'lap', 'keset', 'dan bagai']"
5377.0,0.0,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah,"['syukur', 'lupa', 'kurang', 'tulisanirin', 'jumatberkah']"
5378.0,0.0,segitu kangennya ya mba sama aku,"['segitu', 'kangen', 'mba']"
5379.0,0.0,hidup ini adalah pilihan yang harus kamu pilih,"['hidup', 'pilih', 'pilih']"
5380.0,0.0,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah,"['if', 'keli', 'tu', 'femes', 'apantah', 'kahkahkah']"
5381.0,0.0,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku,"['sayang', 'sakit', 'sentiasa', 'sayang']"
5382.0,0.0, liked  video aku tanya pak jokowi pakai bahasa jawa,"['liked', 'video', 'jokowi', 'pakai', 'bahasa', 'jawa']"
5383.0,0.0,okaay nggapapaa aku minta doyoung ajaa makasih yaa,"['okaay', 'nggapapaa', 'doyoung', 'ajaa', 'makasih', 'yaa']"
5384.0,0.0,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat,"['terima', 'nikah', 'mas', 'kawin', 'bacaanurah', 'al', 'fatihah', 'dear', 'future', 'wife', 'kawin', 'sedekah', 'al', 'fat']"
5385.0,0.0,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang,"['le', 'makan', 'samyang', 'yuk', 'udh', 'makan', 'samyang', 'udh', 'sayang']"
5386.0,0.0,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh,"['pegi', 'kedai', 'bawak', 'adik', 'teman', 'pastu', 'uncle', 'tu', 'anak', 'you', 'muka', 'hahaha', 'muka', 'sudah', 'kawin', 'doh']"
5387.0,0.0,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca,"['suka', 'mie', 'sedap', 'tumis', 'ulang', 'pake', 'bawang', 'merah', 'bawang', 'putih', 'telor', 'daun', 'bawang', 'iris', 'ca']"
5388.0,0.0,jika aku jadi ratumu maka pasti kau rajanya ya kan,"['ratu', 'raja']"
5389.0,0.0,aku penggemar mie burung dara enaknya nyambung terus,"['gemar', 'mie', 'burung', 'dara', 'enak', 'nyambung']"
5390.0,0.0,ni kalau suami aku panggil sayang macam ni were gonna make babies right after,"['suami', 'panggil', 'sayang', 'were', 'gon', 'make', 'babies', 'right', 'after']"
5391.0,0.0,be strong bro,"['be', 'strong', 'bro']"
5392.0,0.0,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di ,"['buku', 'buku', 'suka', 'baca', 'malam', 'kian', 'buku', 'telungkup']"
5393.0,0.0,cerita hari ini aku baru beli hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu,"['cerita', 'beli', 'hamster', 'ngga', 'sepi', 'rumah', 'pandang', 'berdu']"
5394.0,0.0,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani,"['takut', 'tinggal', 'hormat', 'sempat', 'untuk', 'hormat', 'berani']"
5395.0,0.0,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi ,"['let', 'me', 'make', 'this', 'clear', 'paan', 'dlm', 'hidup', 'rasa', 'gagal', 'kan', 'motivasi']"
5396.0,0.0,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari ,"['allah', 'lindung', 'mu', 'siksa', 'kubur', 'siksa', 'neraka', 'jahanam', 'fitnah', 'hidup', 'mati']"
5397.0,0.0,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak,"['kuis', 'kuis', 'emang', 'daihatsu', 'banget', 'sahabat', 'hadiah', 'pulsa', 'kuis', 'kali', 'tebak']"
5398.0,0.0,stay beside you was my job hehee sayang kamu,"['stay', 'beside', 'you', 'was', 'my', 'job', 'hehee', 'sayang']"
5399.0,0.0,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu,"['hahahahaha', 'hibur', 'lol', 'tiful', 'asa', 'typo', 'caption', 'tu']"
5400.0,0.0,fams sama aku yuk,"['fams', 'yuk']"
5401.0,0.0,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan,"['coba', 'amal', 'sikap', 'pergi', 'mampus', 'sayang', 'gagal', 'jenis', 'mudah', 'kasihan', 'mudah', 'maaf']"
5402.0,0.0,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya,"['wkwkwk', 'gt', 'lt', 'doa', 'lip', 'moga', 'ganteng', 'wowognya']"
5403.0,0.0,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti,"['ikon', 'jaman', 'win', 'suka', 'taehyun', 'suka', 'yunhyeong', 'dukung', 'ti']"
5404.0,0.0,gilaaa beliin aku dong kak,"['gilaaa', 'beliin', 'kak']"
5405.0,0.0,kalau kamu mau dihormati harus mau menghormati,"['hormat', 'hormat']"
5406.0,0.0,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini,"['tolong', 'tu', 'tidur', 'self', 'reflect', 'perangai', 'babi', 'sampah', 'ye', 'harini']"
5407.0,0.0,bibi adikku si cantik suka banget liatnya kalau kamu lagi seneng enggak tau kenapa jadi ikutan seneng bi pos,"['bibi', 'adik', 'cantik', 'suka', 'banget', 'liat', 'neng', 'ikut', 'neng', 'bi', 'pos']"
5408.0,0.0,aku ikut habib lutfi aja rois aam jamiyyah ahlith thariqah al mutabarah an nahdliyyah yg meminta menurunkan bendera yg ,"['habib', 'lutfi', 'rois', 'aam', 'jamiyyah', 'ahlith', 'thariqah', 'al', 'mutabarah', 'an', 'nahdliyyah', 'turun', 'bendera']"
5409.0,0.0,omg kamu harus melihat ini bigolive,"['omg', 'bigolive']"
5410.0,0.0,jadi dirimu sendiri agar ketika seseorang mencintai kamu tak perlu takut jika dia akan temukan dirimu bukan orang,"['diri', 'cinta', 'takut', 'temu', 'diri']"
5411.0,0.0,saat ditanya aku hanya diam dan mengangguk kutahu bahwa dia orang yang baik,"['diam', 'angguk', 'tahu']"
5412.0,0.0,aku pake himalaya neem mask juga gini kok bagus emg matull banget,"['pake', 'himalaya', 'neem', 'mask', 'gin', 'bagus', 'emg', 'mantap', 'banget']"
5413.0,0.0,selalu buat macam ni setiap kali nampak peti ais kat dapur haha,"['kali', 'nampak', 'peti', 'ais', 'kat', 'dapur', 'hahaha']"
5414.0,0.0,idola aku banget itu mba,"['idola', 'banget', 'mba']"
5415.0,0.0,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah ,"['sungguh', 'kuasa', 'tanda', 'dewasa', 'seseorangelamat']"
5416.0,0.0,hahahaha pastu buat terkejut eh dah sampai aku tumbokk muka kau kang,"['hahahaha', 'pastu', 'kejut', 'eh', 'sudah', 'tumbokk', 'muka', 'kang']"
5417.0,0.0,karena presentasi hari ini lancar aku mau bikin ga album only wanna ver one ver aja no need to follow tapi,"['presentasi', 'lancar', 'album', 'only', 'wan', 'ver', 'one', 'ver', 'no', 'need', 'to', 'follow']"
5418.0,0.0,shopee kamu apaa mau dong,"['shopee', 'apaa']"
5419.0,0.0,laksanakan segala apa yang diwajibkan allah niscaya kamu menjadi orang yang paling bertakwa hr ath thabrani,"['laksana', 'wajib', 'allah', 'niscaya', 'takwa', 'hr', 'ath', 'thabrani']"
5420.0,0.0,aku cinta segala promo grabfood karena bisa makan burger mcd seharga ayam geprek,"['cinta', 'promo', 'grabfood', 'makan', 'burger', 'mcd', 'harga', 'ayam', 'geprek']"
5421.0,0.0,aku mungkin luaran nampak happy go lucky sentiasa tersenyum dgn orang sekeliling friendly gelak ketawa sampai berdekah ,"['luar', 'nampak', 'happy', 'go', 'lucky', 'sentiasa', 'senyum', 'keliling', 'friendly', 'gelak', 'ketawa', 'dekah']"
5422.0,0.0,aku cinta ,['cinta']
5423.0,0.0,done watching dilan dari start movie sampai habis aku senyum sorang nasib baik tengok sengsorang kalau ram,"['done', 'watching', 'dil', 'start', 'movie', 'habis', 'senyum', 'nasib', 'tengok', 'sengsorang', 'ram']"
5424.0,0.0,aku mau,[]
5425.0,0.0,doa untuk ibu dan bapa ya allah ampunila,"['doa', 'bapa', 'allah', 'ampunila']"
5426.0,0.0,tampil sndiri atasi diri hadapi audiens lakuin perlihatkan ssuatu skill mu sampai tuntas buat smua kagum ,"['tampil', 'sndiri', 'atas', 'hadap', 'audiens', 'lakuin', 'lihat', 'ssuatu', 'skill', 'mu', 'tuntas', 'smua', 'kagum']"
5427.0,0.0,ciri lelaki idaman aku um kena sama macam ayah aku,"['ciri', 'lelaki', 'idam', 'um', 'kena', 'ayah']"
5428.0,0.0,sikaaat ajaaaa sissst sikat bajunya celananya biar bersih wkwk canda ding kalo bisa ga usah sikat sii,"['sikaaat', 'ajaaaa', 'sissst', 'sikat', 'baju', 'celana', 'bersih', 'wkwk', 'canda', 'ding', 'sikat', 'sii']"
5429.0,0.0,shuhuaama sih tapi aku suka banget sama makanan jepang,"['shuhuaama', 'suka', 'banget', 'makan', 'jepang']"
5430.0,0.0,aku pun nak cari rezeki halal bisnes online dgn cara betul takkan aku nak menipu orang pulak kan,"['cari', 'rezeki', 'halal', 'bisnes', 'online', 'tak', 'tipu', 'pulak']"
5431.0,0.0,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat ,"['cepet', 'sembuh', 'sayaang', 'moga', 'kuat', 'allah', 'angkat', 'sakit', 'yaaemangat']"
5432.0,0.0,selamat bertambah umur kamuu semoga kamu sehat selalu dan dipanjangkan umurmuemoga kamu selalu di,"['selamat', 'tambah', 'umur', 'kamuu', 'moga', 'sehat', 'panjang', 'umurmuemoga']"
5433.0,0.0,wei aku kt kedai mamak ni tiba keluar nudes kt tl aduh hahahaha,"['wei', 'kt', 'kedai', 'mamak', 'nudes', 'kt', 'tl', 'aduh', 'hahahaha']"
5434.0,0.0,walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi,"['maut', 'pisah', 'cinta', 'sayang', 'tulus', 'hati', 'fellychibi']"
5435.0,0.0,hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku,"['usaha', 'sinar', 'awan', 'jalan', 'iring', 'puja', 'bebas', 'hanyut']"
5436.0,0.0,rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau,"['rindu', 'takpa', 'la', 'doa', 'jeemoga', 'tuhan', 'lindung']"
5437.0,0.0,mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi ,"['mantap', 'jokowi', 'avengers', 'cegah', 'thanos', 'hapus', 'populasi']"
5438.0,0.0,anak jiran aku umur tahun bagitau bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung hahahahahaah,"['anak', 'jiran', 'umur', 'bagitau', 'bf', 'ko', 'gay', 'kak', 'sbb', 'tu', 'sudah', 'taknak', 'pegang', 'tetek', 'ko', 'laangsung', 'hahahahahaah']"
5439.0,0.0,muhammad  muhammad  dengarkanlah seruanku aku rindu ak rindu padamu muhammad ,"['muhammad', 'muhammad', 'dengar', 'seru', 'rindu', 'ak', 'rindu', 'pada', 'muhammad']"
5440.0,0.0,jangan lupa sholat jumat ya sayang aku jelek ya sayang bukan biar ganteng ih itu kan wajib oh kirain makasi,"['lupa', 'sholat', 'jumat', 'sayang', 'jelek', 'sayang', 'ganteng', 'ih', 'wajib', 'oh', 'kirain', 'makas']"
5441.0,0.0,seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang,"['khawatir', 'sayang']"
5442.0,0.0,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit,"['hihihihi', 'look', 'at', 'the', 'face', 'lepas', 'taknak', 'bau', 'ikan', 'mandi', 'namau', 'nameow', 'catsoftwit']"
5443.0,0.0,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man,"['nama', 'indonesia', 'nama', 'toleransi', 'nama', 'bhineka', 'tunggal', 'ika', 'peti', 'jenasah', 'pendeta', 'oma', 'palese', 'man']"
5444.0,0.0,aku mauuuu,['mauuuu']
5445.0,0.0,omg kamu harus melihat ini bigolive gt pada kemana aja,"['omg', 'bigolive', 'gt', 'mana']"
5446.0,0.0,ngikik baca ginian siang hari,"['ngikik', 'baca', 'ginian', 'siang']"
5447.0,0.0,wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah,"['manusia', 'suka', 'terima', 'kasih', 'support', 'gembira', 'duka', 'anugerah']"
5448.0,0.0,lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering,"['lipstik', 'creamy', 'kaya', 'purbasari', 'gt', 'bibir', 'kering', 'pake', 'enak', 'liat', 'kering']"
5449.0,0.0,gemes kan aku oenyoe getoh cmiew jfclosedday,"['gemes', 'oenyoe', 'getoh', 'cmiew', 'jfclosedday']"
5450.0,0.0,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu,"['gua', 'dinyanyiin', 'raisa', 'lagu', 'mantan', 'indah', 'allah', 'haru']"
5451.0,0.0,kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang,"['kenang', 'indah', 'kali', 'cumbu', 'sayang']"
5452.0,0.0,teruntuk kak rehan kamu yg sabar ya,"['untuk', 'kak', 'rehan', 'sabar']"
5453.0,0.0,terus dia sharing gitu deh sama ngasih motivasi gua sama ngasih petuah kalo kamu pgn kaya amp nikah di umur sebelum th,"['sharing', 'gitu', 'deh', 'ngasih', 'motivasi', 'gua', 'ngasih', 'petuah', 'pgn', 'kaya', 'nikah', 'umur', 'th']"
5454.0,0.0,belum start kuliah aku dah ponteng haih apa nak jadi hahaha,"['start', 'kuliah', 'sudah', 'ponteng', 'haih', 'hahaha']"
5455.0,0.0,iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya,"['iya', 'tapi', 'indah', 'tunjukkin', 'km', 'semangataya', 'bawa', 'titik', 'favorit']"
5456.0,0.0,kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma,"['juang', 'trus', 'temu', 'jalan', 'matsukaze', 'tenma']"
5457.0,0.0,hsjsjs aku juga apalagi kalo diliat dancenya,"['hsjsjs', 'liat', 'dancenya']"
5458.0,0.0,selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya,"['selamat', 'rehat', 'mr', 'acappan', 'lawak', 'suka', 'evergreen', 'selainathiya']"
5459.0,0.0,senang senang je aku diperbodohkan duluob sob,"['senang', 'senang', 'bodoh', 'duluob', 'sob']"
5460.0,0.0,ngantuk aku tidur dulu jangan khawatir besok aku masih mencintaimu seperti biasanya besok aku masih ngirim pesan seperti,"['ngantuk', 'tidur', 'khawatir', 'besok', 'cinta', 'besok', 'ngirim', 'pesan']"
5461.0,0.0,mauu dm aku,"['mauu', 'dm']"
5462.0,0.0,karena aku percaya allah sdh mentakd,"['percaya', 'allah', 'mentakd']"
5463.0,0.0,iya bener hahaha aku uda folback wlpun jarang pake ig hahaha fbmu apa,"['iya', 'bener', 'hahaha', 'uda', 'folback', 'wlpun', 'jarang', 'pake', 'ig', 'hahaha', 'fbmu']"
5464.0,0.0,jeffan jangan manis manis banget donk nanti aku diabetes,"['jeffan', 'manis', 'manis', 'banget', 'donk', 'diabetes']"
5465.0,0.0,aku cinta diriku sendiri,"['cinta', 'diri']"
5466.0,0.0,gigih nau,"['gigih', 'nau']"
5467.0,0.0,thanks wey sebab kau berani lagi tegur aku walaupun aku dah tak suke,"['thanks', 'wey', 'berani', 'tegur', 'sudah', 'suke']"
5468.0,0.0,aku berada ditempat dimana aku bisa menjadi seseorang yg berjalan diatas kakinya sendiri aku berada ditempat dimana aku bi,"['tempat', 'mana', 'jalan', 'atas', 'kaki', 'tempat', 'mana', 'bi']"
5469.0,0.0,aku suka perempuan yang susah nak dapat tapi tulah susah betul nak dapat,"['suka', 'perempuan', 'susah', 'tulah', 'susah']"
5470.0,0.0,aku suka jinkook,"['suka', 'jinkook']"
5471.0,0.0,aku tahu kau boleh sabar ,['sabar']
5472.0,0.0,aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak ,"['sumpah', 'cheese', 'selesai', 'kat', 'malaysia', 'kedai', 'makan', 'laris', 'jual', 'makan', 'cheese']"
5473.0,0.0,jika aku bisa memutar kembali waktu aku tidak akan memutarnya karena aku tau kamu sdh bahagia dan beginilah seharusnya,"['putar', 'putar', 'bahagia']"
5474.0,0.0,berarti aku sepecial,['sepecial']
5475.0,0.0,aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin,"['pesan', 'benda', 'harga', 'kat', 'dunia', 'especially', 'ur', 'mom', 'dad', 'grandma', 'pa', 'siblin']"
5476.0,0.0,aku xpernah tengok mak bahagia sebahagia dye hidup dengan pakcik mak yg dulunya sedih susah dah mule ade sinar bah,"['xpernah', 'tengok', 'mak', 'bahagia', 'bahagia', 'dye', 'hidup', 'pakcik', 'mak', 'dulunya', 'sedih', 'susah', 'sudah', 'mule', 'ade', 'sinar', 'bah']"
5477.0,0.0,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu,"['gua', 'dinyanyiin', 'raisa', 'lagu', 'mantan', 'indah', 'allah', 'haru']"
5478.0,0.0,kok aku minat yg ya pen nonton magic kaito berapaan,"['minat', 'nonton', 'magic', 'kaito', 'berapa']"
5479.0,0.0,tiap salam buat suami aku exo di korea paaak,"['salam', 'suami', 'exo', 'korea', 'paaak']"
5480.0,0.0,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah ,"['sungguh', 'kuasa', 'tanda', 'dewasa', 'seseorangelamat']"
